id,name,category,price,stock,rating,reviews_count,created_at,image,promo
101,Bosch Kettle 1.7L,kitchen,2490,0,4.8,120,2025-09-02,https://picsum.photos/300,
102,Philips Toaster 2-Slice,kitchen,1990,0,4.5,85,2025-06-15,https://picsum.photos/300,
103,Redmond Blender 500W,kitchen,3490,3,4.7,60,2025-05-10,https://picsum.photos/300,
104,DeLonghi Coffee Maker,kitchen,4990,7,4.9,200,2025-04-05,https://picsum.photos/300,
105,Kenwood Food Processor,kitchen,7990,0,4.6,90,2025-03-12,https://picsum.photos/300,
106,Tefal Electric Grill,kitchen,2590,8,4.4,55,2025-02-18,https://picsum.photos/300,
107,Polaris Kitchen Scale,kitchen,1890,12,4.3,40,2025-01-25,https://picsum.photos/300,
108,Scarlett Hand Mixer,kitchen,2990,6,4.2,30,2025-01-10,https://picsum.photos/300,
109,"Samsung Smart TV 43""",electronics,22990,2,4.7,150,2024-12-15,https://picsum.photos/300,
110,LG Soundbar 2.1,electronics,7990,0,4.5,70,2024-11-20,https://picsum.photos/300,
111,Logitech Wireless Mouse,electronics,990,20,4.6,110,2024-10-10,https://picsum.photos/300,
112,HyperX Mechanical Keyboard,electronics,3490,9,4.8,95,2024-09-05,https://picsum.photos/300,
113,Sony Office Headphones,electronics,5990,7,4.4,60,2024-08-15,https://picsum.photos/300,
114,Xiaomi Desk Lamp,electronics,1290,15,4.3,35,2024-07-10,https://picsum.photos/300,
115,Huawei Fitness Tracker,electronics,990,18,4.7,50,2024-06-20,https://picsum.photos/300,
116,JBL Bluetooth Speaker,electronics,1590,10,4.6,45,2024-05-15,https://picsum.photos/300,
117,Nike Running Shoes,clothing,3990,0,4.8,80,2024-04-10,https://picsum.photos/300,
118,Adidas T-shirt XL,clothing,1290,25,4.5,60,2024-03-05,https://picsum.photos/300,
119,Reebok Backpack 20L,clothing,2490,8,4.7,55,2024-02-10,https://picsum.photos/300,
120,Ray-Ban Sunglasses UV400,clothing,1990,14,4.6,40,2024-01-15,https://picsum.photos/300,
121,Puma Hoodie M,clothing,2490,10,4.8,75,2023-12-20,https://picsum.photos/300,
122,Uniqlo Socks 3-Pack,clothing,990,20,4.5,30,2023-11-15,https://picsum.photos/300,
123,CamelBak Water Bottle 1L,clothing,990,22,4.7,35,2023-10-01,https://picsum.photos/300,
124,Samsonite Suitcase 55cm,clothing,5990,6,4.8,28,2023-09-10,https://picsum.photos/300,
125,Nivea Face Cream,beauty,1790,0,4.6,32,2023-08-05,https://picsum.photos/300,
126,Maybelline Lipstick Red,beauty,890,17,4.5,18,2023-07-01,https://picsum.photos/300,
127,L'Oreal Moisturizing Serum,beauty,8990,3,4.9,22,2023-06-10,https://picsum.photos/300,
128,Garnier Hair Mask,beauty,1290,19,4.7,30,2023-05-05,https://picsum.photos/300,
129,Vaseline Hand Cream,beauty,590,16,4.6,15,2023-04-01,https://picsum.photos/300,
130,Dove Body Lotion,beauty,1990,0,4.8,20,2023-03-10,https://picsum.photos/300,
